"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"163",7,7,"Sharks and Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00036,4.13364060061798e-05
"164",7,7,"Small Continental Slope Demersals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01178,0.00135261906320222
"165",7,7,"Small Inshore Demersals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.000803763450120163
"166",8,7,"Adult Patagonian toothfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,0.00578635014836795,NA,NA
"167",8,7,"Adult_mackerel_icefish",NA,NA,NA,NA,NA,NA,2.0757515,0.327889199736419,NA,NA,NA,NA,NA,NA
"168",8,7,"C gunnari",NA,NA,NA,NA,0.9,0.00309897719979175,NA,NA,NA,NA,NA,NA,NA,NA
"169",8,7,"Juvenile Patagonian toothfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.0181008902077151,NA,NA
"170",8,7,"Juvenile_toothfish",NA,NA,NA,NA,NA,NA,0.049737208,0.00785657306678753,NA,NA,NA,NA,NA,NA
"171",8,7,"Large toothfish",NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.075,NA,NA,NA,NA
"172",8,7,"Mackerel icefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.0341246290801187,NA,NA
"173",8,7,"Other_icefish",NA,NA,NA,NA,NA,NA,0.35461178,0.0560150734619761,NA,NA,NA,NA,NA,NA
"174",8,7,"Patagonian Toothfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.000459293400068664
"175",9,8,"Benthic detritus",NA,NA,4.7,1.84769664708923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",9,8,"Carcass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"177",9,8,"Carcasses",0,0,NA,NA,NA,NA,NA,NA,2,0.2,NA,NA,NA,NA
"178",9,8,"Detritus",NA,NA,NA,NA,5.77,0.0198678871586649,0,0,3,0.3,197.61,5.86379821958457,29,3.32987715049782
"179",9,8,"Detritus_ice",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",9,8,"Detritus_sediment",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",9,8,"Detritus_water",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",9,8,"Macrophyte Detritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,0.00424846395063515
"183",9,8,"Pelagic detritus",NA,NA,2.3,0.904191976235155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",10,2,"Bacteria",NA,NA,NA,NA,NA,NA,0.60053837,0.0948620514306811,11,1.1,19,0.56379821958457,NA,NA
"185",10,2,"Bacteria_ice",0.005010567,0.0031575942172427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",10,2,"Bacteria_sediment",28.407595,17.9020972472322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",10,2,"Bacteria_water",0.26762421,0.168653299694455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
